Date	Site	Coordinates	Sheet	First Turbidities	First Turbidities Units	Second Turbidities	Second Turbidities Units	Air Temps (C)	Water Temps (C)	pHs	DOs (ppm)	Right Flows	Center Flows	Left Flows	Flow Units	Phosphate	Nitr	Conductivities (uS/cm)	Rain	Benthic Macros	Data Recorder(s)	Notes	
Sat Mar 07 00:00:00 PST 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[13.0]}	{42=[25.27]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Sat Mar 07 00:00:00 PST 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[8.0], 31=[null]}	{36=[13.0]}	{42=[21.93]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Sat Apr 04 00:00:00 PDT 2009	null	null	null	{4=[20.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.33600001284729863], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[6.5], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[5.7], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.0], 31=[null]}	{36=[12.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Sat Apr 04 00:00:00 PDT 2009	null	null	null	{4=[20.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.33600001284729863], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.0], 31=[null]}	{36=[13.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Sat Apr 04 00:00:00 PDT 2009	null	null	null	{4=[20.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.33600001284729863], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[null], 31=[null]}	{36=[null]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Sat May 02 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[13.5], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[11.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[12.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Fri Jun 05 00:00:00 PDT 2009	null	null	null	{4=[10.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[1.2], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[21.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[17.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[11.33]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Fri Jun 05 00:00:00 PDT 2009	null	null	null	{4=[58.1], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16585804863457593], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[null], 31=[null]}	{36=[null]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Fri Jun 05 00:00:00 PDT 2009	null	null	null	{4=[64.93], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.15409278143615388], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[null], 31=[null]}	{36=[null]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Mon Jul 27 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[33.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[24.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.0], 31=[null]}	{36=[6.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Mon Jul 27 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.0], 31=[null]}	{36=[6.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Mon Jul 27 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.0], 31=[null]}	{36=[7.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Tue Aug 11 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[20.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[17.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[12.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Tue Aug 11 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[12.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Tue Aug 11 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[11.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Tue Sep 22 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[19.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[17.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[11.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Tue Sep 22 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[10.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Tue Sep 22 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[11.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Fri Oct 16 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[17.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[13.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.0], 31=[null]}	{36=[10.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Fri Oct 16 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.0], 31=[null]}	{36=[11.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Fri Oct 16 00:00:00 PDT 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[11.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Sat Nov 07 00:00:00 PST 2009	null	null	null	{4=[18.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.36027220097685025], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[12.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[12.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.25], 31=[null]}	{36=[12.0]}	{42=[902.0]}	{48=[null]}	{54=[null]}	rpm	null	null	{63=[null]}	heavy	foamy, turbid			
Sat Nov 07 00:00:00 PST 2009	null	null	null	{4=[17.5], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.3670540014393557], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.25], 31=[null]}	{36=[12.0]}	{42=[1372.0]}	{48=[null]}	{54=[null]}	rpm	null	null	{63=[null]}					
Sat Nov 07 00:00:00 PST 2009	null	null	null	{4=[19.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.3476052021136509], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.25], 31=[null]}	{36=[9.0]}	{42=[1253.0]}	{48=[null]}	{54=[null]}	rpm	null	null	{63=[null]}					
Sat Dec 05 00:00:00 PST 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[3.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[8.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[12.0]}	{42=[81666.0]}	{48=[null]}	{54=[null]}	rpm	0.0	0.0	{63=[null]}	trace	clear			
Sat Dec 05 00:00:00 PST 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[14.0]}	{42=[997882.0]}	{48=[null]}	{54=[null]}	rpm	null	null	{63=[null]}					
Sat Dec 05 00:00:00 PST 2009	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.25], 31=[null]}	{36=[12.0]}	{42=[968666.0]}	{48=[null]}	{54=[null]}	rpm	null	null	{63=[null]}					
Sat Jan 23 00:00:00 PST 2010	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[10.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[10.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[12.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	0.0	0.0	{63=[null]}	light	clear			
Sat Jan 23 00:00:00 PST 2010	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[10.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Sat Jan 23 00:00:00 PST 2010	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[11.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
Sat Feb 06 00:00:00 PST 2010	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[5.5], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[7.0], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[13.0]}	{42=[871.0]}	{48=[null]}	{54=[null]}	rpm	0.0	0.0	{63=[null]}	none	clear			
Sat Feb 06 00:00:00 PST 2010	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[10.0]}	{42=[798.0]}	{48=[null]}	{54=[null]}	rpm	null	null	{63=[null]}					
Sat Feb 06 00:00:00 PST 2010	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.25], 31=[null]}	{36=[12.0]}	{42=[922.0]}	{48=[null]}	{54=[null]}	rpm	null	null	{63=[null]}					
Sat Mar 06 00:00:00 PST 2010	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[10.0], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[6.5], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[12.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	0.0	0.0	{63=[null]}	trace	clear			
Sat Mar 06 00:00:00 PST 2010	null	null	null	{4=[60.0], 5=[null], 6=[null], 7=[null], 8=[null], 9=[null]}	NTU	{16=[null], 11=[0.16236223589609877], 12=[null], 13=[null], 14=[null], 15=[null]}	m	{18=[null], 19=[null], 20=[null], 21=[null], 22=[null], 23=[null]}	{24=[null], 25=[null], 26=[null], 27=[null], 28=[null], 29=[null]}	{32=[null], 33=[null], 34=[null], 35=[null], 30=[7.5], 31=[null]}	{36=[11.0]}	{42=[null]}	{48=[null]}	{54=[null]}	null	null	null	{63=[null]}					
